p sp 100 400
a 41 12 7238
a 25 10 1818
a 24 22 5208
a 47 31 6418
a 22 91 9632
a 73 44 5116
a 59 6 4181
a 53 19 938
a 81 37 5193
a 93 62 2896
a 99 38 191
a 69 11 3060
a 85 68 158
a 46 42 4859
a 21 59 738
a 29 38 9353
a 8 76 1924
a 58 40 4633
a 76 40 1218
a 13 9 8501
a 65 96 6927
a 3 66 7773
a 73 50 3576
a 46 80 2690
a 53 48 9547
a 81 94 8361
a 30 24 4888
a 26 43 6792
a 92 59 8179
a 10 36 9978
a 15 42 669
a 9 90 9887
a 65 13 2964
a 24 68 6811
a 44 53 1121
a 55 95 7558
a 10 52 7154
a 26 90 4610
a 71 41 9952
a 79 58 1448
a 45 3 5952
a 89 19 5102
a 49 41 7105
a 94 71 4725
a 97 34 7457
a 66 77 8521
a 23 63 4028
a 67 98 6349
a 2 47 7116
a 89 66 8161
a 2 95 7295
a 61 91 8847
a 11 82 7671
a 20 75 5863
a 20 81 1379
a 62 44 2537
a 57 47 2050
a 97 8 31
a 49 84 6585
a 76 49 6749
a 34 27 5030
a 3 8 7540
a 18 76 7844
a 41 68 7875
a 87 14 1626
a 39 47 2949
a 37 54 3824
a 45 88 3085
a 65 49 5386
a 92 8 8244
a 31 65 7959
a 66 40 8408
a 54 86 7979
a 63 31 2330
a 46 24 2775
a 96 12 8187
a 38 37 3184
a 8 46 1665
a 45 30 8946
a 93 45 6397
a 93 33 996
a 24 19 6785
a 38 36 7951
a 24 81 6330
a 41 83 3423
a 88 93 5027
a 69 95 7426
a 76 87 9356
a 76 98 2917
a 63 68 3675
a 40 18 9578
a 36 48 8936
a 19 97 1271
a 3 36 3592
a 92 89 7616
a 44 55 2368
a 84 39 2847
a 64 16 3164
a 93 10 1422
a 21 26 4204
a 26 35 2465
a 25 62 3365
a 38 77 617
a 15 86 4298
a 78 14 5230
a 85 34 7682
a 62 40 9974
a 40 48 6195
a 32 84 5976
a 59 54 9850
a 99 85 4546
a 42 53 462
a 11 100 1283
a 94 68 9151
a 8 31 7980
a 1 11 3507
a 18 15 6698
a 10 98 6494
a 5 90 2416
a 49 56 1387
a 51 7 1997
a 92 83 5229
a 69 88 1400
a 50 14 1166
a 11 22 532
a 22 38 6227
a 86 91 7176
a 51 92 1630
a 44 43 3982
a 80 82 5625
a 48 29 7654
a 99 23 7031
a 70 66 307
a 56 21 1944
a 58 65 6255
a 75 71 4752
a 5 78 8231
a 84 60 382
a 20 11 6359
a 55 19 9559
a 98 90 4639
a 30 21 8242
a 71 28 9025
a 57 42 4155
a 73 46 6593
a 13 71 2723
a 92 22 3333
a 54 40 5255
a 93 21 7722
a 70 79 4477
a 46 35 4733
a 26 20 4762
a 20 47 5734
a 31 18 6051
a 87 23 6157
a 66 89 6822
a 31 21 8369
a 30 2 8705
a 20 32 3190
a 26 73 3429
a 45 42 8335
a 2 58 1319
a 16 61 3758
a 7 59 9144
a 65 50 8008
a 92 16 2994
a 97 93 2030
a 71 88 5914
a 71 53 2347
a 22 7 6657
a 14 63 3913
a 44 98 3919
a 48 38 2152
a 23 54 8175
a 10 95 6746
a 6 71 4016
a 52 11 5103
a 52 79 5809
a 71 74 2212
a 3 48 1294
a 15 33 5377
a 62 65 9427
a 11 56 867
a 68 44 1402
a 32 67 4733
a 95 36 3401
a 93 61 1071
a 79 37 9475
a 64 81 8960
a 51 97 256
a 35 84 83
a 68 100 7154
a 87 8 5404
a 61 44 4195
a 80 17 450
a 60 97 8272
a 68 30 9044
a 5 25 7881
a 90 41 9092
a 12 60 676
a 41 51 2811
a 66 6 5175
a 53 41 9149
a 13 43 4599
a 38 98 5719
a 52 44 4375
a 96 80 6476
a 17 60 1279
a 36 3 7052
a 98 64 5698
a 26 45 4645
a 43 27 2194
a 76 96 8213
a 63 3 3023
a 84 98 5479
a 57 69 2472
a 72 37 8471
a 47 67 5561
a 54 47 9523
a 76 42 5054
a 90 75 6531
a 63 46 9632
a 97 40 6163
a 77 70 3628
a 80 35 1470
a 67 65 4086
a 50 99 8081
a 41 92 5704
a 41 65 7836
a 90 68 6675
a 41 5 4548
a 12 95 3625
a 61 74 1787
a 84 33 805
a 60 41 9192
a 45 10 185
a 4 50 7142
a 6 33 4785
a 90 98 8751
a 64 58 2230
a 62 17 3032
a 84 57 7263
a 47 28 5037
a 58 25 8455
a 99 19 2422
a 82 73 2250
a 59 24 8629
a 59 52 1617
a 41 48 3618
a 18 20 7003
a 93 85 6153
a 80 14 2100
a 71 1 840
a 78 20 1849
a 40 84 105
a 88 31 5711
a 48 13 9584
a 18 81 8790
a 46 97 629
a 15 49 748
a 81 53 7989
a 29 3 8904
a 21 42 1257
a 59 47 1981
a 4 34 7836
a 16 23 6187
a 85 16 9221
a 3 12 1037
a 78 51 9215
a 98 96 6142
a 36 96 7326
a 20 56 204
a 2 64 7194
a 87 76 1369
a 74 99 6769
a 49 30 638
